#metadataBlock	name	dataverseAlias	displayName	blockURI
	MDS_fairagro		MDS_fairagro	
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	MDS_fairagro.generalExtended.sourceRDI.sourceRDIName	MDS_fairagro.generalExtended.sourceRDI.sourceRDIName	The name of the original Research Data Infrastructure that the dataset was published by.		text	47		TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	MDS_fairagro.generalExtended.sourceRDI	MDS_fairagro
	MDS_fairagro.generalExtended.sourceRDI.sourceRDIURI	MDS_fairagro.generalExtended.sourceRDI.sourceRDIURI	The landing page of the original Research Data Infrastructure that the dataset was published by.		text	48		TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	MDS_fairagro.generalExtended.sourceRDI	MDS_fairagro
	MDS_fairagro.generalExtended.sourceRDI.sourceRDIID	MDS_fairagro.generalExtended.sourceRDI.sourceRDIID	A persistent identifier of the Research Data Infrastructure		none	49		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.sourceRDI	MDS_fairagro
	MDS_fairagro.generalExtended.sourceRDI.sourceRDIID.sourceRDIIDvalue	MDS_fairagro.generalExtended.sourceRDI.sourceRDIID.sourceRDIIDvalue	The value of a Research Data Infrastructure identifier		text	50		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.sourceRDI.sourceRDIID	MDS_fairagro
	MDS_fairagro.generalExtended.sourceRDI.sourceRDIID.sourceRDIIDscheme	MDS_fairagro.generalExtended.sourceRDI.sourceRDIID.sourceRDIIDscheme	The scheme of a Research Data Infrastructure identifier		text	51		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.sourceRDI.sourceRDIID	MDS_fairagro
	MDS_fairagro.generalExtended.sourceDatasetURI	MDS_fairagro.generalExtended.sourceDatasetURI	A link to the original landing page of the dataset.		text	52		TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.license	MDS_fairagro.generalExtended.license	The terms under which this dataset has been published.		text	53		TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.format	MDS_fairagro.generalExtended.format	The file format(s) of the dataset.		text	54		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.dateModified	MDS_fairagro.generalExtended.dateModified	'The date on which the Dataset was most recently modified or when the item''s entry was modified.'		text	55		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.spatialResolution	MDS_fairagro.generalExtended.spatialResolution	Minimum spatial separation resolvable in a dataset, measured in meters.		text	56		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.versionNumber	MDS_fairagro.generalExtended.versionNumber	The version number of the dataset.		text	57		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro.generalExtended.variableMeasured	Variables measured in a dataset		none	58		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredName	MDS_fairagro.generalExtended.variableMeasured.variableMeasuredName	The name of a variable measured in the dataset.		text	59		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.variableMeasured	MDS_fairagro
